Actor, Title, Title Year, IMDB Rating
CCH Pounder,Avatar ,2009,7.9,
Johnny Depp,Pirates of the Caribbean: At World's End ,2007,7.1,
Christoph Waltz,Spectre ,2015,6.8,
Tom Hardy,The Dark Knight Rises ,2012,8.5,
Doug Walker,Star Wars: Episode VII - The Force Awakens             ,0,7.1,
Daryl Sabara,John Carter ,2012,6.6,
J.K. Simmons,Spider-Man 3 ,2007,6.2,
Brad Garrett,Tangled ,2010,7.8,
Chris Hemsworth,Avengers: Age of Ultron ,2015,7.5,
Alan Rickman,Harry Potter and the Half-Blood Prince ,2009,7.5,
Henry Cavill,Batman v Superman: Dawn of Justice ,2016,6.9,
Kevin Spacey,Superman Returns ,2006,6.1,
Giancarlo Giannini,Quantum of Solace ,2008,6.7,
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,2006,7.3,
Johnny Depp,The Lone Ranger ,2013,6.5,
Henry Cavill,Man of Steel ,2013,7.2,
Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,2008,6.6,
Chris Hemsworth,The Avengers ,2012,8.1,
Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,2011,6.7,
Will Smith,Men in Black 3 ,2012,6.8,
Aidan Turner,The Hobbit: The Battle of the Five Armies ,2014,7.5,
Emma Stone,The Amazing Spider-Man ,2012,7.0,
Mark Addy,Robin Hood ,2010,6.7,
Aidan Turner,The Hobbit: The Desolation of Smaug ,2013,7.9,
Christopher Lee,The Golden Compass ,2007,6.1,
Naomi Watts,King Kong ,2005,7.2,
Leonardo DiCaprio,Titanic ,1997,7.7,
Robert Downey Jr.,Captain America: Civil War ,2016,8.2,
Liam Neeson,Battleship ,2012,5.9,
Bryce Dallas Howard,Jurassic World ,2015,7.0,
Albert Finney,Skyfall ,2012,7.8,
J.K. Simmons,Spider-Man 2 ,2004,7.3,
Robert Downey Jr.,Iron Man 3 ,2013,7.2,
Johnny Depp,Alice in Wonderland ,2010,6.5,
Hugh Jackman,X-Men: The Last Stand ,2006,6.8,
Steve Buscemi,Monsters University ,2013,7.3,
Glenn Morshower,Transformers: Revenge of the Fallen ,2009,6.0,
Bingbing Li,Transformers: Age of Extinction ,2014,5.7,
Tim Holmes,Oz the Great and Powerful ,2013,6.4,
Emma Stone,The Amazing Spider-Man 2 ,2014,6.7,
Jeff Bridges,TRON: Legacy ,2010,6.8,
Joe Mantegna,Cars 2 ,2011,6.3,
Ryan Reynolds,Green Lantern ,2011,5.6,
Tom Hanks,Toy Story 3 ,2010,8.3,
Christian Bale,Terminator Salvation ,2009,6.6,
Jason Statham,Furious 7 ,2015,7.2,
Peter Capaldi,World War Z ,2013,7.0,
Jennifer Lawrence,X-Men: Days of Future Past ,2014,8.0,
Benedict Cumberbatch,Star Trek Into Darkness ,2013,7.8,
Eddie Marsan,Jack the Giant Slayer ,2013,6.3,
Leonardo DiCaprio,The Great Gatsby ,2013,7.3,
Jake Gyllenhaal,Prince of Persia: The Sands of Time ,2010,6.6,
Charlie Hunnam,Pacific Rim ,2013,7.0,
Glenn Morshower,Transformers: Dark of the Moon ,2011,6.3,
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,2008,6.2,
A.J. Buckley,The Good Dinosaur ,2015,6.8,
Kelly Macdonald,Brave ,2012,7.2,
Sofia Boutella,Star Trek Beyond ,2016,7.5,
John Ratzenberger,WALL·E ,2008,8.4,
Tzi Ma,Rush Hour 3 ,2007,6.2,
Oliver Platt,2012 ,2009,5.8,
Robin Wright,A Christmas Carol ,2009,6.8,
Channing Tatum,Jupiter Ascending ,2015,5.4,
Christoph Waltz,The Legend of Tarzan ,2016,6.6,
